1000000, (0.597, 20.342)
2000000, (0.745, 21.273)
3000000, (0.763, 20.365)
4000000, (0.795, 19.886)
5000000, (0.837, 19.37)
6000000, (0.858, 19.036)
7000000, (0.867, 18.78)
8000000, (0.876, 19.087)
9000000, (0.848, 19.153)
10000000, (0.881, 18.98)
11000000, (0.859, 18.133)
12000000, (0.88, 18.517)
13000000, (0.885, 17.389)
14000000, (0.892, 17.293)
15000000, (0.852, 17.315)
16000000, (0.882, 17.242)
17000000, (0.873, 16.662)
18000000, (0.886, 16.99)
19000000, (0.884, 16.975)
20000000, (0.902, 16.359)
ppo_Cnn_20.0M_g_0.95_lr_0.0001_vfc_0.15_entc_0, (0.901, 16.847)
