5000000, (0.001, 0.017, 98.252)
10000000, (0.002, 0.02, 97.84)
15000000, (0.004, 0.037, 96.163)
20000000, (0.002, 0.026, 97.299)
25000000, (0.002, 0.014, 98.428)
30000000, (0.0, 0.019, 98.131)
35000000, (0.0, 0.017, 98.345)
40000000, (0.001, 0.023, 97.671)
45000000, (0.002, 0.015, 98.325)
50000000, (0.004, 0.02, 97.636)
55000000, (0.004, 0.026, 97.046)
60000000, (0.013, 0.034, 95.432)
65000000, (0.003, 0.028, 96.985)
70000000, (0.016, 0.034, 95.135)
75000000, (0.008, 0.044, 95.032)
80000000, (0.009, 0.039, 95.585)
85000000, (0.012, 0.041, 94.989)
90000000, (0.007, 0.037, 95.973)
95000000, (0.011, 0.03, 95.983)
100000000, (0.007, 0.045, 95.009)
smart_vs_ppo_Cnn_100.0M_g_0.95_lr_0.0001_vfc_0.1_entc_0_mp_-0.01_lost0.5, (0.009, 0.0323, 96.015)
