5000000, (0.049, 0.1, 86.257)
10000000, (0.057, 0.202, 76.552)
15000000, (0.072, 0.208, 75.415)
20000000, (0.096, 0.301, 66.572)
25000000, (0.085, 0.319, 65.809)
30000000, (0.101, 0.283, 66.17)
35000000, (0.1, 0.278, 66.675)
40000000, (0.1, 0.251, 69.147)
45000000, (0.131, 0.262, 66.679)
50000000, (0.122, 0.293, 63.606)
55000000, (0.108, 0.322, 62.842)
60000000, (0.141, 0.296, 62.648)
65000000, (0.124, 0.319, 62.904)
70000000, (0.148, 0.3, 62.232)
75000000, (0.162, 0.269, 65.211)
80000000, (0.2, 0.355, 56.38)
85000000, (0.141, 0.339, 61.462)
90000000, (0.113, 0.294, 65.351)
95000000, (0.145, 0.32, 60.91)
100000000, (0.135, 0.315, 63.025)
smart_vs_ppo_Cnn_100.0M_g_0.95_lr_0.0001_vfc_0.1_entc_0_mp_-0.01_lost0.5, (0.1559, 0.3269, 60.6364)
