2000000, (0.012, 0.066, 230.86)
4000000, (0.015, 0.053, 233.264)
6000000, (0.013, 0.062, 231.549)
8000000, (0.011, 0.067, 230.96)
10000000, (0.017, 0.059, 231.392)
12000000, (0.008, 0.075, 229.863)
14000000, (0.013, 0.067, 230.296)
16000000, (0.015, 0.074, 228.21)
18000000, (0.017, 0.063, 230.399)
20000000, (0.016, 0.064, 230.339)
22000000, (0.013, 0.079, 227.419)
24000000, (0.008, 0.052, 235.348)
26000000, (0.011, 0.061, 232.352)
28000000, (0.015, 0.073, 228.674)
30000000, (0.011, 0.074, 229.099)
32000000, (0.009, 0.06, 233.117)
34000000, (0.01, 0.064, 231.87)
36000000, (0.012, 0.066, 230.876)
38000000, (0.006, 0.075, 230.099)
40000000, (0.008, 0.075, 229.713)
smart_vs_ppo_Cnn_40.0M_g_0.95_lr_0.0001_vfc_0.1_entc_0_mp_-0.2_lost0, (0.0084, 0.0692, 231.0264)
