2000000, (0.012, 0.074, 228.944)
4000000, (0.009, 0.07, 230.613)
6000000, (0.006, 0.07, 231.454)
8000000, (0.009, 0.067, 231.376)
10000000, (0.008, 0.076, 229.453)
12000000, (0.013, 0.049, 234.833)
14000000, (0.016, 0.07, 228.886)
16000000, (0.011, 0.066, 231.132)
18000000, (0.014, 0.072, 228.907)
20000000, (0.009, 0.08, 228.263)
22000000, (0.01, 0.069, 230.775)
24000000, (0.007, 0.075, 229.975)
26000000, (0.011, 0.075, 228.953)
28000000, (0.004, 0.092, 226.415)
30000000, (0.011, 0.069, 230.403)
32000000, (0.005, 0.062, 233.561)
34000000, (0.006, 0.067, 232.147)
36000000, (0.009, 0.084, 227.181)
38000000, (0.009, 0.084, 227.183)
40000000, (0.007, 0.067, 231.892)
smart_vs_ppo_Cnn_40.0M_g_0.95_lr_0.0001_vfc_0.1_entc_0_mp_-1.5, (0.0101, 0.0705, 230.2701)
